Derendingen;7133
Etziken;1069
Gerlafingen;5859
Halten;841
Horriwil;943
Hüniken;161
Kriegstetten;1446
Lohn-Ammannsegg;2947
Luterbach;3724
Obergerlafingen;1266
Oekingen;894
Recherswil;2202
Subingen;3299
Zuchwil;9616
Drei Höfe;732
;
Balm Bei Günsberg;230
Bellach;5556
Bettlach;4987
Feldbrunnen-St Niklaus;1071
Flumenthal;1052
Grenchen;18602
Günsberg;1205
Hubersdorf;719
Kammersrohr;32
Langendorf;3883
Lommiswil;1618
Oberdorf (So);1818
Riedholz;2310
Rüttenen;1532
Selzach;3690
;
Boningen;813
Däniken;3073
Dulliken;5450
Eppenberg-Wöschnau;340
Fulenbach;1821
Gretzenbach;2789
Gunzgen;1696
Hägendorf;5299
Kappel (So);3562
Olten;19051
Rickenbach (So);1211
Schönenwerd;5337
Starrkirch-Wil;1980
Walterswil (So);772
Wangen Bei Olten;5532
;
Solothurn;16847
;
Bärschwil;796
Beinwil (So);262
Breitenbach;4366
Büsserach;2450
Erschwil;967
Fehren;600
Grindel;519
Himmelried;964
Kleinlützel;1197
Meltingen;631
Nunningen;1983
Zullwil;701
;
;
Basel;177571
Bettingen;1279
Riehen;22534
;
;
Aesch (Bl);11137
Allschwil;22155
Arlesheim;9314
Biel-Benken;3485
Binningen;16053
Birsfelden;10445
Bottmingen;7014
Ettingen;5567
Münchenstein;12457
Muttenz;18120
Oberwil (Bl);11430
Pfeffingen;2413
Reinach (Bl);20690
Schönenbuch;1494
Therwil;10125
;
Blauen;707
Brislach;1772
Burg Im Leimental;286
Dittingen;740
Duggingen;1621
Grellingen;1958
Laufen;6054
Liesberg;1105
Nenzlingen;468
Roggenburg;246
Röschenz;1941
Wahlen;1592
Zwingen;2848
;
Arisdorf;1734
Augst;1087
Bubendorf;4534
Frenkendorf;6651
Füllinsdorf;4730
Giebenach;1136
Hersberg;393
Lausen;5886
Liestal;16034
Lupsingen;1565
Pratteln;16576
Ramlinsburg;732
Seltisberg;1316
Ziefen;1708
;
Anwil;547
Böckten;857
Buckten;715
Buus;1134
Diepflingen;835
Gelterkinden;6458
Häfelfingen;246
Hemmiken;263
Itingen;2473
Känerkinden;532
Kilchberg (Bl);182
Läufelfingen;1415
Maisprach;956
Nusshof;277
Oltingen;526
Ormalingen;2375
Rickenbach (Bl);570
Rothenfluh;809
Rümlingen;438
Rünenberg;794
Sissach;6894
Tecknau;817
Tenniken;938
Thürnen;1459
Wenslingen;712
Wintersingen;602
Wittinsburg;449
Zeglingen;519
Zunzgen;2790
;
Arboldswil;608
Bennwil;677
Bretzwil;736
Diegten;1643
Eptingen;560
Hölstein;2643
Lampenberg;581
Langenbruck;975
Lauwil;324
Liedertswil;156
Niederdorf;1783
Oberdorf (Bl);2577
Reigoldswil;1593
Titterten;442
Waldenburg;1124
;
;
Gächlingen;1029
Löhningen;1642
Neunkirch;2660
;
Büttenhardt;438
Dörflingen;1056
Lohn (Sh);760
Stetten (Sh);1479
Thayngen;5881
;
Bargen (Sh);342
Beringen;5269
Buchberg;885
Merishausen;905
Neuhausen Am Rheinfall;11834
Rüdlingen;815
Schaffhausen;38964
;
Beggingen;485
Schleitheim;1845
Siblingen;888
;
Buch (Sh);336
Hemishofen;493
Ramsen;1655
Stein Am Rhein;3770
;
Hallau;2423
Oberhallau;456
Trasadingen;619
Wilchingen;1738
;
;
Herisau;15943
Hundwil;965
Schönengrund;557
Schwellbrunn;1556
Stein (Ar);1497
Urnäsch;2373
Waldstatt;1867
;
Bühler;1934
Gais;3134
Speicher;4502
Teufen (Ar);6522
Trogen;1877
;
Grub (Ar);986
Heiden;4383
Lutzenberg;1321
Rehetobel;1714
